,season,week,team,opponent,score,opponent_score
0,2014,1,ARI,LAC,18,17
1,2014,1,ATL,NO,37,34
2,2014,1,BAL,CIN,16,23
3,2014,1,BUF,CHI,23,20
4,2014,1,CAR,TB,20,14
5,2014,1,CHI,BUF,20,23
6,2014,1,CIN,BAL,23,16
7,2014,1,CLE,PIT,27,30
8,2014,1,DAL,SF,17,28
9,2014,1,DEN,IND,31,24
10,2014,1,DET,NYG,35,14
11,2014,1,GB,SEA,16,36
12,2014,1,HOU,WAS,17,6
13,2014,1,IND,DEN,24,31
14,2014,1,JAX,PHI,17,34
15,2014,1,KC,TEN,10,26
16,2014,1,LA,MIN,6,34
17,2014,1,LA,MIN,6,34
18,2014,1,LAC,ARI,17,18
19,2014,1,LV,NYJ,14,19
20,2014,1,MIA,NE,33,20
21,2014,1,MIN,LA,34,6
22,2014,1,NE,MIA,20,33
23,2014,1,NO,ATL,34,37
24,2014,1,NYG,DET,14,35
25,2014,1,NYJ,LV,19,14
26,2014,1,NYJ,LV,19,14
27,2014,1,PHI,JAX,34,17
28,2014,1,PIT,CLE,30,27
29,2014,1,PIT,CLE,30,27
30,2014,1,SEA,GB,36,16
31,2014,1,SF,DAL,28,17
32,2014,1,TB,CAR,14,20
33,2014,1,TEN,KC,26,10
34,2014,1,WAS,HOU,6,17
35,2014,2,ARI,NYG,25,14
36,2014,2,ATL,CIN,10,24
37,2014,2,BAL,PIT,26,6
38,2014,2,BUF,MIA,29,10
39,2014,2,CAR,DET,24,7
40,2014,2,CHI,SF,28,20
41,2014,2,CIN,ATL,24,10
42,2014,2,CIN,ATL,24,10
43,2014,2,CLE,NO,26,24
44,2014,2,CLE,NO,26,24
45,2014,2,DAL,TEN,26,10
46,2014,2,DEN,KC,24,17
47,2014,2,DET,CAR,7,24
48,2014,2,GB,NYJ,31,24
49,2014,2,HOU,LV,30,14
50,2014,2,IND,PHI,27,30
51,2014,2,JAX,WAS,10,41
52,2014,2,KC,DEN,17,24
53,2014,2,LA,TB,19,17
54,2014,2,LAC,SEA,30,21
55,2014,2,LV,HOU,14,30
56,2014,2,MIA,BUF,10,29
57,2014,2,MIN,NE,7,30
58,2014,2,NE,MIN,30,7
59,2014,2,NO,CLE,24,26
60,2014,2,NYG,ARI,14,25
61,2014,2,NYJ,GB,24,31
62,2014,2,PHI,IND,30,27
63,2014,2,PIT,BAL,6,26
64,2014,2,SEA,LAC,21,30
65,2014,2,SF,CHI,20,28
66,2014,2,TB,LA,17,19
67,2014,2,TEN,DAL,10,26
68,2014,2,WAS,JAX,41,10
69,2014,2,WAS,JAX,41,10
70,2014,3,ARI,SF,23,14
71,2014,3,ARI,SF,23,14
72,2014,3,ATL,TB,56,14
73,2014,3,ATL,TB,56,14
74,2014,3,BAL,CLE,23,21
75,2014,3,BUF,LAC,10,22
76,2014,3,BUF,LAC,10,22
77,2014,3,CAR,PIT,19,37
78,2014,3,CAR,PIT,19,37
79,2014,3,CHI,NYJ,27,19
80,2014,3,CIN,TEN,33,7
