,season,week,team,opponent,score,opponent_score,qb,passing_value,rushing_value,qb_rushing_value_pct,pass_def_value,rush_def_value
0,2014,1,ARI,LAC,18,17,C. Palmer,0.6045665644262761,0.1940037246811718,0.2702702702702703,0.4939420025313328,0.8557574665664494
1,2014,1,ATL,NO,37,34,M. Ryan,0.8464194016429595,0.7216645378638682,0.1209677419354838,0.2548352862494399,0.2160906705814975
2,2014,1,BAL,CIN,16,23,J. Flacco,0.310023261633669,0.5782303755977164,0.0736842105263157,0.1911265079507884,0.6933421671467914
3,2014,1,BUF,CHI,23,20,E. Manuel,0.4226963808197906,0.7635799727015965,0.1161616161616161,0.6960084325041552,0.4085527458833412
4,2014,1,CAR,TB,20,14,D. Anderson,0.7129889676396997,0.3127098516197855,0.087719298245614,0.8432283424660022,0.3219386739226664
5,2014,1,CHI,BUF,20,23,J. Cutler,0.2490376156344166,0.5801663114390551,0.0,0.5012009806948806,0.2294934129114446
6,2014,1,CIN,BAL,23,16,A. Dalton,0.7465687997993484,0.2945927840675609,0.0609756097560975,0.6254000504425518,0.4104559794559886
7,2014,1,CLE,PIT,27,30,B. Hoyer,0.5828746775554061,0.8519915717163552,-0.0104166666666666,0.1147267544254436,0.5181220075234445
8,2014,1,DAL,SF,17,28,T. Romo,0.2337755220536673,0.4631499536642092,0.0,0.0596596407313336,0.5860773030964508
9,2014,1,DEN,IND,31,24,P. Manning,0.813365298111382,0.6187561106867131,0.0,0.3653458480465237,0.6876905399897052
10,2014,1,DET,NYG,35,14,M. Stafford,0.9452756970880528,0.4101596104267015,0.0625,0.8709524770732096,0.8157368465216442
11,2014,1,GB,SEA,16,36,A. Rodgers,0.2391531761620195,0.6106276448810368,0.0,0.2744226419167553,0.1565018241396387
12,2014,1,HOU,WAS,17,6,R. Fitzpatrick,0.8630224817977803,0.2042488632477741,0.1016949152542373,0.6978702600251624,0.6123035145660437
13,2014,1,IND,DEN,24,31,A. Luck,0.5557684097653197,0.3001693113995949,0.3454545454545454,0.1358817836072281,0.3706794468854655
14,2014,1,JAX,PHI,17,34,C. Henne,0.139743568380756,0.2155430807362815,0.123076923076923,0.8102233778430216,0.439843644827542
15,2014,1,KC,TEN,10,26,A. Smith,0.172892849417667,0.3313427702378293,0.5294117647058824,0.1086982094053269,0.529746383000767
16,2014,1,LA,MIN,6,34,A. Davis,0.0615419154069458,0.478586191391654,0.0,0.1808806761996791,0.4996893929224961
17,2014,1,LA,MIN,6,34,S. Hill,0.0319751488540263,0.478586191391654,0.0,0.1808806761996791,0.4996893929224961
18,2014,1,LAC,ARI,17,18,P. Rivers,0.4295252376789952,0.1362555350654013,0.1886792452830188,0.31848571107598,0.796051241595638
19,2014,1,LV,NYJ,14,19,D. Carr,0.203160644078251,0.1172510945704294,0.0,0.6228929653300326,0.3339301263592418
20,2014,1,MIA,NE,33,20,R. Tannehill,0.2183449187372799,0.7089490386468984,0.0,0.785482314397869,0.1939739928536009
21,2014,1,MIN,LA,34,6,M. Cassel,0.7586861948927168,0.487842220374573,0.0,0.9410955959524152,0.508870836450438
22,2014,1,NE,MIA,20,33,T. Brady,0.174318581037815,0.8002064215587255,0.0333333333333333,0.732388795110443,0.2825961911537612
23,2014,1,NO,ATL,34,37,D. Brees,0.6736690134433968,0.777393431584643,0.0142857142857142,0.1096784807842331,0.2702214412277392
24,2014,1,NYG,DET,14,35,E. Manning,0.1049475994119,0.1748998906301325,0.0,0.0361983630147788,0.5770213588552682
25,2014,1,NYJ,LV,19,14,G. Smith,0.3438518650992514,0.6563143416802397,0.1860465116279069,0.7505839292557848,0.8755450951460121
26,2014,1,PHI,JAX,34,17,N. Foles,0.1540733547819293,0.5483791103535275,0.0,0.8278453727393741,0.7739286538006976
27,2014,1,PIT,CLE,30,27,B. Roethlisberger,0.7496514137090359,0.4692686224452178,0.0625,0.3391204324532795,0.143833092495553
