,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win,rush_def_win_pred,rush_def_value
0,2014,1,ARI,LAC,18,17,24,52.0,-8.805075,1.0,2.1666666666666665,-0.366878125,0.0416666666666666,1,1,0.8557574665664494
1,2014,1,ATL,NO,37,34,28,139.0,4.2642536,3.0,4.964285714285714,0.1522947714285714,0.1071428571428571,0,0,0.21609067058149758
2,2014,1,BAL,CIN,16,23,24,81.0,-4.8885007,0.0,3.375,-0.2036875291666666,0.0,1,1,0.6933421671467914
3,2014,1,BUF,CHI,23,20,18,86.0,-0.055888094,0.0,4.777777777777778,-0.0031048941111111,0.0,1,0,0.4085527458833412
4,2014,1,CAR,TB,20,14,17,102.0,1.0254097,0.0,6.0,0.0603182176470588,0.0,1,0,0.32193867392266645
5,2014,1,CHI,BUF,20,23,31,197.0,4.3151383,1.0,6.354838709677419,0.1391980096774193,0.032258064516129,0,0,0.2294934129114446
6,2014,1,CIN,BAL,23,16,21,94.0,-0.09316294,1.0,4.476190476190476,-0.0044363304761904,0.0476190476190476,1,0,0.4104559794559886
7,2014,1,CLE,PIT,27,30,29,127.0,-2.260673,2.0,4.379310344827586,-0.0779542413793103,0.0689655172413793,0,1,0.5181220075234445
8,2014,1,DAL,SF,17,28,28,129.0,-3.4864633,1.0,4.607142857142857,-0.1245165464285714,0.0357142857142857,0,1,0.5860773030964508
9,2014,1,DEN,IND,31,24,14,54.0,-2.7889926,1.0,3.857142857142857,-0.1992137571428571,0.0714285714285714,1,1,0.6876905399897052
10,2014,1,DET,NYG,35,14,22,53.0,-6.9817786,1.0,2.409090909090909,-0.3173535727272727,0.0454545454545454,1,1,0.8157368465216442
11,2014,1,GB,SEA,16,36,34,210.0,7.455015,2.0,6.176470588235294,0.2192651470588235,0.0588235294117647,0,0,0.15650182413963873
12,2014,1,HOU,WAS,17,6,23,131.0,-3.2888758,1.0,5.695652173913044,-0.1429946,0.0434782608695652,0,1,0.6123035145660437
13,2014,1,IND,DEN,24,31,28,105.0,0.6678378,1.0,3.75,0.02385135,0.0357142857142857,1,0,0.3706794468854655
14,2014,1,JAX,PHI,17,34,32,145.0,-0.79308254,1.0,4.53125,-0.024783829375,0.03125,0,0,0.439843644827542
15,2014,1,KC,TEN,10,26,36,165.0,-3.090178,0.0,4.583333333333333,-0.0858382777777777,0.0,0,1,0.529746383000767
16,2014,1,LA,MIN,6,34,29,188.0,-1.8988177,1.0,6.482758620689655,-0.0654764724137931,0.0344827586206896,0,0,0.4996893929224961
17,2014,1,LAC,ARI,17,18,26,110.0,-7.6973166,0.0,4.230769230769231,-0.2960506384615384,0.0,0,1,0.796051241595638
18,2014,1,LV,NYJ,14,19,32,214.0,1.6356307,1.0,6.6875,0.051113459375,0.03125,0,0,0.3339301263592418
19,2014,1,MIA,NE,33,20,20,89.0,3.5053282,1.0,4.45,0.17526641,0.05,1,0,0.19397399285360095
20,2014,1,MIN,LA,34,6,21,73.0,-1.5054839,0.0,3.4761904761904763,-0.0716897095238095,0.0,1,1,0.508870836450438
21,2014,1,NE,MIA,20,33,36,193.0,3.308691,1.0,5.361111111111111,0.0919080833333333,0.0277777777777777,0,0,0.2825961911537612
22,2014,1,NO,ATL,34,37,25,123.0,2.5593936,1.0,4.92,0.1023757439999999,0.04,0,0,0.2702214412277392
23,2014,1,NYG,DET,14,35,27,79.0,-3.1919725,2.0,2.925925925925926,-0.1182212037037037,0.074074074074074,1,1,0.5770213588552682
24,2014,1,NYJ,LV,19,14,14,26.0,-5.539876,0.0,1.8571428571428568,-0.3957054285714285,0.0,1,1,0.8755450951460121
