,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry
0,2014,1,ARI,LAC,18,17,26,110.0,-7.6973166,0.0,30.0,1.6813087,0.0,1,4.230769230769231,-0.29605063846153845
1,2014,1,ATL,NO,37,34,25,123.0,2.5593936,1.0,15.0,0.27204967,0.0,1,4.92,0.10237574399999999
2,2014,1,BAL,CIN,16,23,21,94.0,-0.093162715,1.0,7.0,1.793058,0.0,0,4.476190476190476,-0.004436319761904762
3,2014,1,BUF,CHI,23,20,31,197.0,4.3151383,1.0,23.0,0.22290832,1.0,1,6.354838709677419,0.13919800967741935
4,2014,1,CAR,TB,20,14,33,113.0,-6.2476344,0.0,10.0,1.9291232,0.0,1,3.4242424242424243,-0.18932225454545454
5,2014,1,CHI,BUF,20,23,18,86.0,-0.055888057,0.0,0.0,0.0,0.0,0,4.777777777777778,-0.0031048920555555555
6,2014,1,CIN,BAL,23,16,24,81.0,-4.8885007,0.0,5.0,-3.897657,0.0,0,3.375,-0.20368752916666666
7,2014,1,CLE,PIT,27,30,31,191.0,7.3180656,2.0,-2.0,-2.1367536,0.0,1,6.161290322580645,0.2360666322580645
8,2014,1,DAL,SF,17,28,23,127.0,-1.887739,1.0,0.0,0.0,0.0,1,5.521739130434782,-0.08207560869565218
9,2014,1,DEN,IND,31,24,28,105.0,0.66783774,1.0,0.0,0.0,0.0,0,3.75,0.023851347857142855
10,2014,1,DET,NYG,35,14,27,79.0,-3.1919725,2.0,5.0,2.5137115,1.0,0,2.925925925925926,-0.1182212037037037
11,2014,1,GB,SEA,16,36,21,80.0,0.38006762,1.0,0.0,0.0,0.0,0,3.8095238095238093,0.018098458095238096
12,2014,1,HOU,WAS,17,6,32,117.0,-9.128966,0.0,12.0,0.2829678,0.0,1,3.65625,-0.2852801875
13,2014,1,IND,DEN,24,31,14,54.0,-2.788993,1.0,19.0,-2.36999,1.0,0,3.857142857142857,-0.19921378571428572
14,2014,1,JAX,PHI,17,34,24,64.0,-6.572697,0.0,8.0,0.47012907,0.0,0,2.6666666666666665,-0.273862375
15,2014,1,KC,TEN,10,26,17,67.0,-2.9752314,0.0,36.0,2.222616,0.0,0,3.9411764705882355,-0.1750136117647059
16,2014,1,LA,MIN,6,34,21,73.0,-1.5054839,0.0,0.0,0.0,0.0,0,3.4761904761904763,-0.07168970952380953
17,2014,1,LAC,ARI,17,18,24,52.0,-8.805075,1.0,10.0,-2.5484455,0.0,0,2.1666666666666665,-0.366878125
18,2014,1,LV,NYJ,14,19,14,26.0,-5.539876,0.0,0.0,0.0,0.0,0,1.8571428571428572,-0.39570542857142854
19,2014,1,MIA,NE,33,20,36,193.0,3.308691,1.0,0.0,-0.9081664,0.0,1,5.361111111111111,0.09190808333333333
20,2014,1,MIN,LA,34,6,29,188.0,-1.8988178,1.0,0.0,-4.7124133,0.0,1,6.482758620689655,-0.06547647586206896
