,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rush_discrepancy,rush_discrepancy_abs,rushing_value
0,2014,1,ARI,LAC,18,17,26,110.0,-7.6973166,0.0,-1.2587349926197575,-0.29605063846153845,-1.1199405089332386,-0.13879448368651892,0.13879448368651892,-1.2587349926197575
1,2014,1,ATL,NO,37,34,25,123.0,2.5593936,1.0,0.682493204958743,0.10237574399999999,0.7471926756408285,-0.06469947068208548,0.06469947068208548,0.682493204958743
2,2014,1,BAL,CIN,16,23,21,94.0,-0.09316294,1.0,0.18045917545879042,-0.004436330476190476,0.2466425676495639,-0.06618339219077349,0.06618339219077349,0.18045917545879042
3,2014,1,BUF,CHI,23,20,31,197.0,4.3151383,1.0,1.014792846162314,0.13919800967741935,0.9197517159150986,0.09504113024721528,0.09504113024721528,1.014792846162314
4,2014,1,CAR,TB,20,14,33,113.0,-6.2476344,0.0,-0.9843620300135181,-0.18932225454545454,-0.6197825974151221,-0.364579432598396,0.364579432598396,-0.9843620300135181
5,2014,1,CHI,BUF,20,23,18,86.0,-0.055888094,0.0,0.18751396990112498,-0.003104894111111111,0.25288203654474517,-0.06536806664362019,0.06536806664362019,0.18751396990112498
6,2014,1,CIN,BAL,23,16,24,81.0,-4.8885007,0.0,-0.7271266581182296,-0.20368752916666666,-0.6871021378157229,-0.040024520302506694,0.040024520302506694,-0.7271266581182296
7,2014,1,CLE,PIT,27,30,31,191.0,7.318065,2.0,1.5831394087181472,0.2360666129032258,1.3737040433408596,0.20943536537728757,0.20943536537728757,1.5831394087181472
8,2014,1,DAL,SF,17,28,23,127.0,-1.887739,1.0,-0.15918985258641333,-0.08207560869565218,-0.11719597108959534,-0.041993881496817986,0.041993881496817986,-0.15918985258641333
9,2014,1,DEN,IND,31,24,28,105.0,0.6678378,1.0,0.32448938261684246,0.02385135,0.3792062463031024,-0.05471686368625994,0.05471686368625994,0.32448938261684246
10,2014,1,DET,NYG,35,14,27,79.0,-3.1919725,2.0,-0.4060345812623292,-0.1182212037037037,-0.28658395061733827,-0.11945063064499095,0.11945063064499095,-0.4060345812623292
11,2014,1,GB,SEA,16,36,21,80.0,0.38006765,1.0,0.2700247912704481,0.018098459523809524,0.35224665429779073,-0.08222186302734263,0.08222186302734263,0.2700247912704481
12,2014,1,HOU,WAS,17,6,32,117.0,-9.128966,0.0,-1.529694991501889,-0.2852801875,-1.069467279025936,-0.46022771247595284,0.46022771247595284,-1.529694991501889
13,2014,1,IND,DEN,24,31,14,54.0,-2.7889926,1.0,-0.32976490709942224,-0.19921375714285713,-0.6661368388958399,0.3363719317964176,0.3363719317964176,-0.32976490709942224
14,2014,1,JAX,PHI,17,34,24,64.0,-6.572697,0.0,-1.0458847476094761,-0.273862375,-1.0159603388421932,-0.029924408767282973,0.029924408767282973,-1.0458847476094761
15,2014,1,KC,TEN,10,26,17,67.0,-2.9752314,0.0,-0.36501324725854883,-0.1750136117647059,-0.5527284490500073,0.18771520179145845,0.18771520179145845,-0.36501324725854883
16,2014,1,LA,MIN,6,34,21,73.0,-1.5054839,0.0,-0.08684264141258201,-0.07168970952380953,-0.0685248542936093,-0.01831778711897271,0.01831778711897271,-0.08684264141258201
18,2014,1,LAC,ARI,17,18,24,52.0,-8.805075,1.0,-1.468394015859436,-0.366878125,-1.4518571598309753,-0.016536856028460667,0.016536856028460667,-1.468394015859436
19,2014,1,LV,NYJ,14,19,14,26.0,-5.539876,0.0,-0.8504086925044753,-0.39570542857142854,-1.586949657439867,0.7365409649353917,0.7365409649353917,-0.8504086925044753
20,2014,1,MIA,NE,33,20,36,193.0,3.308691,1.0,0.8243083886666981,0.09190808333333333,0.6981384024904286,0.1261699861762695,0.1261699861762695,0.8243083886666981
21,2014,1,MIN,LA,34,6,29,188.0,-1.8988177,1.0,-0.16128665403767328,-0.0654764724137931,-0.03940795415244302,-0.12187869988523026,0.12187869988523026,-0.16128665403767328
22,2014,1,NE,MIA,20,33,20,89.0,3.5053282,1.0,0.8615247738320783,0.17526641,1.088777940385295,-0.2272531665532168,0.2272531665532168,0.8615247738320783
23,2014,1,NO,ATL,34,37,28,139.0,4.2642536,3.0,1.0051621933955697,0.15229477142857142,0.9811266638413871,0.024035529554182533,0.024035529554182533,1.0051621933955697
24,2014,1,NYG,DET,14,35,22,53.0,-6.9817786,1.0,-1.1233092552289397,-0.3173535727272727,-1.2197717883043835,0.09646253307544383,0.09646253307544383,-1.1233092552289397
25,2014,1,NYJ,LV,19,14,32,214.0,1.6356307,1.0,0.5076579454661926,0.051113459375,0.5069638229501862,0.0006941225160064235,0.0006941225160064235,0.5076579454661926
27,2014,1,PHI,JAX,34,17,32,145.0,-0.79308254,1.0,0.04798944227301072,-0.024783829375,0.15128871537117217,-0.10329927309816145,0.10329927309816145,0.04798944227301072
28,2014,1,PIT,CLE,30,27,29,127.0,-2.260673,2.0,-0.22977291309208508,-0.07795424137931035,-0.09788213540778369,-0.1318907776843014,0.1318907776843014,-0.22977291309208508
30,2014,1,SEA,GB,36,16,34,210.0,7.455015,2.0,1.6090591428701737,0.21926514705882355,1.2949678556573054,0.3140912872128683,0.3140912872128683,1.6090591428701737
31,2014,1,SF,DAL,28,17,28,129.0,-3.4864633,1.0,-0.4617711511507376,-0.12451654642857143,-0.31608561975191707,-0.1456855313988205,0.1456855313988205,-0.4617711511507376
32,2014,1,TB,CAR,14,20,17,102.0,1.0254097,0.0,0.3921649473356077,0.060318217647058824,0.5500997958231741,-0.15793484848756645,0.15793484848756645,0.3921649473356077
33,2014,1,TEN,KC,26,10,36,165.0,-3.090178,0.0,-0.3867685251970614,-0.08583827777777778,-0.13482885037435438,-0.251939674822707,0.251939674822707,-0.3867685251970614
34,2014,1,WAS,HOU,6,17,23,131.0,-3.2888758,1.0,-0.4243749082024829,-0.1429946,-0.40267874844083396,-0.02169615976164896,0.02169615976164896,-0.4243749082024829
35,2014,2,ARI,NYG,25,14,27,126.0,0.06527841,1.0,0.21044645308338433,0.002417718888888889,0.2787624863637416,-0.06831603328035729,0.06831603328035729,0.21044645308338433
36,2014,2,ATL,CIN,10,24,19,97.0,3.8573043,0.0,0.9281412538603149,0.20301601578947367,1.2188200563422535,-0.29067880248193867,0.29067880248193867,0.9281412538603149
37,2014,2,BAL,PIT,26,6,34,159.0,0.9418376,0.0,0.37634773948948463,0.027701105882352944,0.39724723775563076,-0.02089949826614612,0.02089949826614612,0.37634773948948463
38,2014,2,BUF,MIA,29,10,32,115.0,-11.031355,0.0,-1.889749150930432,-0.34472984375,-1.348064357136373,-0.541684793794059,0.541684793794059,-1.889749150930432
39,2014,2,CAR,DET,24,7,23,63.0,-6.7290645,1.0,-1.0754795196431888,-0.29256802173913043,-1.1036200303259056,0.028140510682716835,0.028140510682716835,-1.0754795196431888
40,2014,2,CHI,SF,28,20,15,48.0,-4.763488,0.0,-0.7034662276718842,-0.31756586666666664,-1.2207666548006166,0.5173004271287325,0.5173004271287325,-0.7034662276718842
41,2014,2,CIN,ATL,24,10,44,171.0,0.9738471,2.0,0.38240599235797157,0.022132888636363635,0.37115307417471405,0.011252918183257521,0.011252918183257521,0.38240599235797157
43,2014,2,CLE,NO,26,24,31,122.0,0.6954638,1.0,0.32971799580182876,0.022434316129032256,0.37256564447396845,-0.04284764867213969,0.04284764867213969,0.32971799580182876
45,2014,2,DAL,TEN,26,10,43,220.0,-0.31219563,1.0,0.13900412547410132,-0.007260363488372093,0.23340838943375272,-0.0944042639596514,0.0944042639596514,0.13900412547410132
46,2014,2,DEN,KC,24,17,18,89.0,1.6142023,0.0,0.5036023161759167,0.08967790555555556,0.6876871896197786,-0.18408487344386193,0.18408487344386193,0.5036023161759167
47,2014,2,DET,CAR,7,24,18,70.0,-4.38752,0.0,-0.6323089395399457,-0.24375111111111114,-0.8748508578658964,0.24254191832595073,0.24254191832595073,-0.6323089395399457
48,2014,2,GB,NYJ,31,24,20,82.0,-7.9958215,0.0,-1.3152312879908945,-0.399791075,-1.6060960954344912,0.29086480744359666,0.29086480744359666,-1.3152312879908945
49,2014,2,HOU,LV,30,14,45,189.0,1.7701228,1.0,0.5331124871058254,0.039336062222222225,0.4517717723736099,0.08134071473221549,0.08134071473221549,0.5331124871058254
50,2014,2,IND,PHI,27,30,37,170.0,-6.972015,0.0,-1.1214613551459405,-0.18843283783783785,-0.615614551515536,-0.5058468036304045,0.5058468036304045,-1.1214613551459405
51,2014,2,JAX,WAS,10,41,10,25.0,-3.1424475,0.0,-0.39666127104780496,-0.31424474999999996,-1.2052030088897587,0.8085417378419537,0.8085417378419537,-0.39666127104780496
52,2014,2,KC,DEN,17,24,31,133.0,-3.9450881,2.0,-0.5485724135934261,-0.1272609064516129,-0.3289464289126503,-0.21962598468077582,0.21962598468077582,-0.5485724135934261
53,2014,2,LA,TB,19,17,29,119.0,-6.0229993,1.0,-0.9418466443018438,-0.20768963103448276,-0.7058570635294253,-0.2359895807724185,0.2359895807724185,-0.9418466443018438
54,2014,2,LAC,SEA,30,21,37,101.0,-4.4835353,0.0,-0.6504811998577772,-0.12117662972972973,-0.30043387183403814,-0.35004732802373906,0.35004732802373906,-0.6504811998577772
55,2014,2,LV,HOU,14,30,17,101.0,3.4024422,1.0,0.8420521358768728,0.2001436588235294,1.205359419082434,-0.36330728320556116,0.36330728320556116,0.8420521358768728
56,2014,2,MIA,BUF,10,29,21,80.0,-5.6493406,0.0,-0.8711264240200496,-0.2690162190476191,-0.9932499486807559,0.1221235246607063,0.1221235246607063,-0.8711264240200496
57,2014,2,MIN,NE,7,30,18,55.0,-2.5241969,0.0,-0.2796485569818634,-0.14023316111111112,-0.38973790312139656,0.11008934613953314,0.11008934613953314,-0.2796485569818634
58,2014,2,NE,MIN,30,7,37,150.0,-3.830207,1.0,-0.526829532460952,-0.10351910810810812,-0.21768597654312724,-0.3091435559178247,0.3091435559178247,-0.526829532460952
59,2014,2,NO,CLE,24,26,27,174.0,7.643983,1.0,1.6448240229230402,0.2831104814814815,1.5941642638978697,0.0506597590251705,0.0506597590251705,1.6448240229230402
60,2014,2,NYG,ARI,14,25,27,81.0,-7.6867027,0.0,-1.2567261611753167,-0.28469269259259256,-1.0667141198836831,-0.19001204129163352,0.19001204129163352,-1.2567261611753167
61,2014,2,NYJ,GB,24,31,36,148.0,1.9394511,2.0,0.5651602747685822,0.053873641666666666,0.5198987795170796,0.04526149525150258,0.04526149525150258,0.5651602747685822
62,2014,2,PHI,IND,30,27,27,127.0,2.1192136,2.0,0.5991828830964655,0.07848939259259259,0.6352548087364621,-0.036071925639996616,0.036071925639996616,0.5991828830964655
63,2014,2,PIT,BAL,6,26,18,99.0,0.68987745,0.0,0.32866069965812544,0.038326525,0.44704080943629537,-0.11838010977816993,0.11838010977816993,0.32866069965812544
64,2014,2,SEA,LAC,21,30,13,108.0,5.0651526,1.0,1.1567437133855198,0.3896271230769231,2.0933298939535803,-0.9365861805680604,0.9365861805680604,1.1567437133855198
65,2014,2,SF,CHI,20,28,27,127.0,-4.894932,1.0,-0.7283438730598283,-0.18129377777777778,-0.58215899603135,-0.14618487702847827,0.14618487702847827,-0.7283438730598283
66,2014,2,TB,LA,17,19,30,157.0,1.272596,2.0,0.43894846819740396,0.04241986666666667,0.46622330938626,-0.027274841188856036,0.027274841188856036,0.43894846819740396
67,2014,2,TEN,DAL,10,26,13,82.0,2.49238,0.0,0.6698099286055467,0.19172153846153844,1.165891097945672,-0.49608116934012536,0.49608116934012536,0.6698099286055467
68,2014,2,WAS,JAX,41,10,41,192.0,1.7079042,3.0,0.5213367326603252,0.0416562,0.46264456199890786,0.05869217066141735,0.05869217066141735,0.5213367326603252
70,2014,3,ARI,SF,23,14,24,90.0,-0.15191317,0.0,0.16933985933633408,-0.006329715416666666,0.23776965659459093,-0.06842979725825685,0.06842979725825685,0.16933985933633408
72,2014,3,ATL,TB,56,14,36,144.0,-12.540653,3.0,-2.175405251085123,-0.34835147222222224,-1.3650362821904003,-0.8103689688947227,0.8103689688947227,-2.175405251085123
