,season,week,team,opponent,score,opponent_score,special_teams_epa,special_teams_epa_standardized,special_teams_value
0,2014,1,ARI,LAC,18,17,-4.7517724,-0.9967429738680313,-0.9967429738680313
1,2014,1,ATL,NO,37,34,-1.1626127,-0.24387237908422155,-0.24387237908422155
2,2014,1,BAL,CIN,16,23,-2.1076238,-0.44210013387994773,-0.44210013387994773
3,2014,1,BUF,CHI,23,20,3.7211306,0.7805531216931458,0.7805531216931458
4,2014,1,CAR,TB,20,14,-3.4576757,-0.7252902011656169,-0.7252902011656169
5,2014,1,CHI,BUF,20,23,-3.7211306,-0.7805531216931458,-0.7805531216931458
6,2014,1,CIN,BAL,23,16,2.1076238,0.44210013387994773,0.44210013387994773
7,2014,1,CLE,PIT,27,30,-3.9480171,-0.828145368480999,-0.828145368480999
8,2014,1,DAL,SF,17,28,1.6367292,0.34332417314950603,0.34332417314950603
9,2014,1,DEN,IND,31,24,-4.641921,-0.9737002853925549,-0.9737002853925549
10,2014,1,DET,NYG,35,14,-1.2100115,-0.2538148630444752,-0.2538148630444752
11,2014,1,GB,SEA,16,36,1.8759854,0.39351111735255,0.39351111735255
12,2014,1,HOU,WAS,17,6,4.201312,0.8812771034714217,0.8812771034714217
13,2014,1,IND,DEN,24,31,4.641921,0.9737002853925549,0.9737002853925549
14,2014,1,JAX,PHI,17,34,-10.950105,-2.296919823404673,-2.296919823404673
15,2014,1,KC,TEN,10,26,-4.762454,-0.9989835714500344,-0.9989835714500344
16,2014,1,LA,MIN,6,34,-0.16672349,-0.03497231206533734,-0.03497231206533734
18,2014,1,LAC,ARI,17,18,4.7517724,0.9967429738680313,0.9967429738680313
19,2014,1,LV,NYJ,14,19,-4.3470263,-0.9118424783444056,-0.9118424783444056
20,2014,1,MIA,NE,33,20,1.2339721,0.258840894951993,0.258840894951993
21,2014,1,MIN,LA,34,6,0.16672349,0.03497231206533734,0.03497231206533734
22,2014,1,NE,MIA,20,33,-1.2339721,-0.258840894951993,-0.258840894951993
23,2014,1,NO,ATL,34,37,1.1626127,0.24387237908422155,0.24387237908422155
24,2014,1,NYG,DET,14,35,1.2100115,0.2538148630444752,0.2538148630444752
25,2014,1,NYJ,LV,19,14,4.3470263,0.9118424783444056,0.9118424783444056
27,2014,1,PHI,JAX,34,17,10.950105,2.296919823404673,2.296919823404673
28,2014,1,PIT,CLE,30,27,3.9480171,0.828145368480999,0.828145368480999
