,season,week,team,opponent,score,opponent_score,total_plays,total_possession_time_seconds,pass_percentage,run_percentage,total_plays_standardized,total_possession_time_standardized,pass_percentage_standardized
0,2014,1,ARI,LAC,18,17,67.0,1909.0,0.6060606060606061,0.3939393939393939,0.12274370145694176,0.3323036027473787,0.15671808568335252
1,2014,1,ATL,NO,37,34,72.0,1878.0,0.6323529411764706,0.3676470588235294,0.6835851693427092,0.21684669043264324,0.4051596871760387
2,2014,1,BAL,CIN,16,23,87.0,1770.0,0.7558139534883721,0.2441860465116279,2.3661095730000117,-0.1853902944057899,1.5717678064438259
3,2014,1,BUF,CHI,23,20,59.0,1832.0,0.4259259259259259,0.5740740740740741,-0.7746026471602862,0.04552353022368096,-1.5454110032627757
4,2014,1,CAR,TB,20,14,71.0,2112.0,0.5074626865671642,0.4925373134328358,0.5714168757655557,1.0883601575825816,-0.7749536321328847
5,2014,1,CHI,BUF,20,23,71.0,2082.0,0.7391304347826086,0.2608695652173913,0.5714168757655557,0.9766276617941281,1.4141218580133235
6,2014,1,CIN,BAL,23,16,70.0,1830.0,0.6190476190476191,0.3809523809523809,0.4592485821884022,0.03807469717111739,0.2794350026434205
7,2014,1,CLE,PIT,27,30,66.0,1653.0,0.515625,0.484375,0.010575407879788277,-0.6211470279807592,-0.6978262787729541
8,2014,1,DAL,SF,17,28,64.0,1884.0,0.6349206349206349,0.365079365079365,-0.21376117927451868,0.23919318959033398,0.4294223455946141
9,2014,1,DEN,IND,31,24,77.0,2085.0,0.5692307692307692,0.4307692307692308,1.2444266372284767,0.9878009113729734,-0.19129450446494312
10,2014,1,DET,NYG,35,14,66.0,2164.0,0.5573770491803278,0.4426229508196721,0.010575407879788277,1.2820298169492348,-0.30330270685548205
11,2014,1,GB,SEA,16,36,58.0,1600.0,0.6379310344827587,0.3620689655172414,-0.8867709407374396,-0.8185411038736939,0.45786822098191043
12,2014,1,HOU,WAS,17,6,57.0,1746.0,0.4074074074074074,0.5925925925925926,-0.9989392343145931,-0.2747762910365529,-1.7203962367058354
13,2014,1,IND,DEN,24,31,71.0,1656.0,0.8,0.2,0.5714168757655557,-0.6099737784019138,1.9892907122870342
14,2014,1,JAX,PHI,17,34,73.0,1754.0,0.6571428571428571,0.3428571428571428,0.7957534629198627,-0.24498095882629856,0.6394046257262863
15,2014,1,KC,TEN,10,26,58.0,1336.0,0.6964285714285714,0.3035714285714285,-0.8867709407374396,-1.8017870668120861,1.0106232995304916
16,2014,1,LA,MIN,6,34,66.0,1903.0,0.6612903225806451,0.3387096774193548,0.010575407879788277,0.3099571035896879,0.6785948669490174
18,2014,1,LAC,ARI,17,18,61.0,1691.0,0.6,0.4,-0.5502660600059791,-0.4796191999820512,0.09945019110198712
19,2014,1,LV,NYJ,14,19,49.0,1510.0,0.7083333333333334,0.2916666666666667,-1.896285582931821,-1.153738591239055,1.1231138067438877
