,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rushing_value
0,2014,1,ARI,LAC,18,17,26,110.0,-7.6973166,0.0,-1.2587349935756507,-0.29605063846153845,-1.11994050981946,-1.11994050981946
1,2014,1,ATL,NO,37,34,25,123.0,2.5593936,1.0,0.6824932042743805,0.10237574399999999,0.7471926748459385,0.7471926748459385
2,2014,1,BAL,CIN,16,23,21,94.0,-0.093162715,1.0,0.180459217288654,-0.004436319761904762,0.24664261704021387,0.24664261704021387
3,2014,1,BUF,CHI,23,20,31,197.0,4.3151383,1.0,1.0147928455244322,0.13919800967741935,0.9197517151286495,0.9197517151286495
4,2014,1,CAR,TB,20,14,33,113.0,-6.2476344,0.0,-0.984362030931033,-0.18932225454545454,-0.6197825982768781,-0.6197825982768781
5,2014,1,CHI,BUF,20,23,18,86.0,-0.055888057,0.0,0.18751397615030305,-0.0031048920555555555,0.252882045358562,0.252882045358562
6,2014,1,CIN,BAL,23,16,24,81.0,-4.8885007,0.0,-0.7271266589997635,-0.20368752916666666,-0.687102138680772,-0.687102138680772
7,2014,1,CLE,PIT,27,30,31,191.0,7.3180656,2.0,1.5831395217182922,0.2360666322580645,1.3737041332785953,1.3737041332785953
8,2014,1,DAL,SF,17,28,23,127.0,-1.887739,1.0,-0.1591898533885066,-0.08207560869565218,-0.11719597192676713,-0.11719597192676713
9,2014,1,DEN,IND,31,24,28,105.0,0.66783774,1.0,0.32448937052655125,0.023851347857142855,0.37920623544820736,0.37920623544820736
10,2014,1,DET,NYG,35,14,27,79.0,-3.1919725,2.0,-0.40603458209895005,-0.1182212037037037,-0.2865839514627957,-0.2865839514627957
11,2014,1,GB,SEA,16,36,21,80.0,0.38006762,1.0,0.27002478485046505,0.018098458095238096,0.35224664678891193,0.35224664678891193
12,2014,1,HOU,WAS,17,6,32,117.0,-9.128966,0.0,-1.5296949924956824,-0.2852801875,-1.0694672799096885,-1.0694672799096885
13,2014,1,IND,DEN,24,31,14,54.0,-2.788993,1.0,-0.3297649836310606,-0.19921378571428572,-0.6661369736532619,-0.6661369736532619
14,2014,1,JAX,PHI,17,34,24,64.0,-6.572697,0.0,-1.0458847485355964,-0.273862375,-1.0159603397233283,-1.0159603397233283
15,2014,1,KC,TEN,10,26,17,67.0,-2.9752314,0.0,-0.3650132480894318,-0.1750136117647059,-0.5527284499084834,-0.5527284499084834
16,2014,1,LA,MIN,6,34,21,73.0,-1.5054839,0.0,-0.08684264220455568,-0.07168970952380953,-0.06852485512840033,-0.06852485512840033
18,2014,1,LAC,ARI,17,18,24,52.0,-8.805075,1.0,-1.468394016844655,-0.366878125,-1.4518571607334325,-1.4518571607334325
19,2014,1,LV,NYJ,14,19,14,26.0,-5.539876,0.0,-0.8504086934032532,-0.39570542857142854,-1.5869496583489324,-1.5869496583489324
20,2014,1,MIA,NE,33,20,36,193.0,3.308691,1.0,0.8243083880021723,0.09190808333333333,0.6981384016931391,0.6981384016931391
21,2014,1,MIN,LA,34,6,29,188.0,-1.8988178,1.0,-0.16128667376648131,-0.06547647586206896,-0.03940797114535788,-0.03940797114535788
22,2014,1,NE,MIA,20,33,20,89.0,3.5053282,1.0,0.861524773172758,0.17526641,1.088777939607114,1.088777939607114
23,2014,1,NO,ATL,34,37,28,139.0,4.2642536,3.0,1.0051621927563408,0.15229477142857142,0.9811266630579402,0.9811266630579402
24,2014,1,NYG,DET,14,35,22,53.0,-6.9817786,1.0,-1.1233092561658897,-0.3173535727272727,-1.2197717891954882,-1.2197717891954882
25,2014,1,NYJ,LV,19,14,32,214.0,1.6356307,1.0,0.507657944757375,0.051113459375,0.5069638221435453,0.5069638221435453
27,2014,1,PHI,JAX,34,17,32,145.0,-0.79308265,1.0,0.04798942068083319,-0.0247838328125,0.1512886984380839,0.1512886984380839
28,2014,1,PIT,CLE,30,27,29,127.0,-2.260673,2.0,-0.22977291390405125,-0.07795424137931035,-0.09788213624401075,-0.09788213624401075
30,2014,1,SEA,GB,36,16,34,210.0,7.455015,2.0,1.6090591423154155,0.21926514705882355,1.29496785488921,1.29496785488921
31,2014,1,SF,DAL,28,17,28,129.0,-3.486463,1.0,-0.4617710952158903,-0.12451653571428571,-0.31608557038879315,-0.31608557038879315
32,2014,1,TB,CAR,14,20,17,102.0,1.0254098,0.0,0.392164965537057,0.06031822352941177,0.5500998225849313,0.5500998225849313
33,2014,1,TEN,KC,26,10,36,165.0,-3.090178,0.0,-0.38676852603098744,-0.08583827777777778,-0.1348288512123887,-0.1348288512123887
34,2014,1,WAS,HOU,6,17,23,131.0,-3.2888756,1.0,-0.4243748711888263,-0.14299459130434783,-0.4026787085418055,-0.4026787085418055
