,season,week,team,opponent,score,opponent_score,special_teams_epa,special_teams_epa_standardized,special_teams_value
0,2014,1,ARI,LAC,18,17,-4.7517724,-0.9967429723871474,-0.9967429723871474
1,2014,1,ATL,NO,37,34,-1.1626127,-0.24387237872189477,-0.24387237872189477
2,2014,1,BAL,CIN,16,23,-2.1076238,-0.4421001332231094,-0.4421001332231094
3,2014,1,BUF,CHI,23,20,3.7211308,0.7805531624859313,0.7805531624859313
4,2014,1,CAR,TB,20,14,-3.4576762,-0.7252903049692145,-0.7252903049692145
5,2014,1,CHI,BUF,20,23,-3.7211308,-0.7805531624859313,-0.7805531624859313
6,2014,1,CIN,BAL,23,16,2.1076238,0.4421001332231094,0.4421001332231094
7,2014,1,CLE,PIT,27,30,-3.948017,-0.8281453462743689,-0.8281453462743689
8,2014,1,DAL,SF,17,28,1.6367292,0.34332417263942144,0.34332417263942144
9,2014,1,DEN,IND,31,24,-4.641921,-0.9737002839459061,-0.9737002839459061
10,2014,1,DET,NYG,35,14,-1.210012,-0.25381496754855454,-0.25381496754855454
11,2014,1,GB,SEA,16,36,1.8759853,0.39351109579166593,0.39351109579166593
12,2014,1,HOU,WAS,17,6,4.201312,0.8812771021620881,0.8812771021620881
13,2014,1,IND,DEN,24,31,4.641921,0.9737002839459061,0.9737002839459061
14,2014,1,JAX,PHI,17,34,-10.950105,-2.2969198199920866,-2.2969198199920866
15,2014,1,KC,TEN,10,26,-4.7624536,-0.9989834860608792,-0.9989834860608792
16,2014,1,LA,MIN,6,34,-0.16672331,-0.034972274256154144,-0.034972274256154144
18,2014,1,LAC,ARI,17,18,4.7517724,0.9967429723871474,0.9967429723871474
19,2014,1,LV,NYJ,14,19,-4.347027,-0.9118426238233094,-0.9118426238233094
20,2014,1,MIA,NE,33,20,1.2339721,0.25884089456742715,0.25884089456742715
21,2014,1,MIN,LA,34,6,0.16672331,0.03497227425615416,0.03497227425615416
22,2014,1,NE,MIA,20,33,-1.2339721,-0.25884089456742715,-0.25884089456742715
23,2014,1,NO,ATL,34,37,1.1626127,0.24387237872189477,0.24387237872189477
24,2014,1,NYG,DET,14,35,1.210012,0.25381496754855454,0.25381496754855454
25,2014,1,NYJ,LV,19,14,4.347027,0.9118426238233094,0.9118426238233094
27,2014,1,PHI,JAX,34,17,10.950105,2.2969198199920866,2.2969198199920866
28,2014,1,PIT,CLE,30,27,3.948017,0.8281453462743689,0.8281453462743689
30,2014,1,SEA,GB,36,16,-1.8759853,-0.39351109579166593,-0.39351109579166593
31,2014,1,SF,DAL,28,17,-1.6367292,-0.34332417263942144,-0.34332417263942144
32,2014,1,TB,CAR,14,20,3.4576762,0.7252903049692145,0.7252903049692145
33,2014,1,TEN,KC,26,10,4.7624536,0.9989834860608792,0.9989834860608792
34,2014,1,WAS,HOU,6,17,-4.201312,-0.8812771021620881,-0.8812771021620881
35,2014,2,ARI,NYG,25,14,12.491509,2.6202483541216757,2.6202483541216757
36,2014,2,ATL,CIN,10,24,8.802252,1.846381115008941,1.846381115008941
37,2014,2,BAL,PIT,26,6,2.4968345,0.5237418865198125,0.5237418865198125
38,2014,2,BUF,MIA,29,10,9.934683,2.0839225092397236,2.0839225092397236
39,2014,2,CAR,DET,24,7,12.646809,2.652824447962307,2.652824447962307
40,2014,2,CHI,SF,28,20,-4.289845,-0.8998479927995167,-0.8998479927995167
41,2014,2,CIN,ATL,24,10,-8.802252,-1.846381115008941,-1.846381115008941
43,2014,2,CLE,NO,26,24,1.3375142,0.2805601293778333,0.2805601293778333
45,2014,2,DAL,TEN,26,10,6.946951,1.4572088067113371,1.4572088067113371
46,2014,2,DEN,KC,24,17,5.59214,1.173020459819385,1.173020459819385
47,2014,2,DET,CAR,7,24,-12.646809,-2.652824447962307,-2.652824447962307
48,2014,2,GB,NYJ,31,24,1.50142,0.3149413960991715,0.3149413960991715
49,2014,2,HOU,LV,30,14,-0.10701871,-0.022448496713865784,-0.022448496713865784
50,2014,2,IND,PHI,27,30,8.395764,1.7611152345640557,1.7611152345640557
51,2014,2,JAX,WAS,10,41,1.305337,0.27381056410591587,0.27381056410591587
52,2014,2,KC,DEN,17,24,-5.59214,-1.173020459819385,-1.173020459819385
53,2014,2,LA,TB,19,17,3.5123239,0.7367533352549499,0.7367533352549499
54,2014,2,LAC,SEA,30,21,5.1847444,1.0875641990604636,1.0875641990604636
55,2014,2,LV,HOU,14,30,0.10701871,0.022448496713865788,0.022448496713865788
56,2014,2,MIA,BUF,10,29,-9.934683,-2.0839225092397236,-2.0839225092397236
57,2014,2,MIN,NE,7,30,-10.173234,-2.1339615289549623,-2.1339615289549623
58,2014,2,NE,MIN,30,7,10.173234,2.1339615289549623,2.1339615289549623
59,2014,2,NO,CLE,24,26,-1.3375142,-0.2805601293778333,-0.2805601293778333
60,2014,2,NYG,ARI,14,25,-12.491509,-2.6202483541216757,-2.6202483541216757
61,2014,2,NYJ,GB,24,31,-1.50142,-0.3149413960991715,-0.3149413960991715
62,2014,2,PHI,IND,30,27,-8.395764,-1.7611152345640557,-1.7611152345640557
63,2014,2,PIT,BAL,6,26,-2.4968345,-0.5237418865198125,-0.5237418865198125
64,2014,2,SEA,LAC,21,30,-5.1847444,-1.0875641990604636,-1.0875641990604636
65,2014,2,SF,CHI,20,28,4.289845,0.8998479927995167,0.8998479927995167
66,2014,2,TB,LA,17,19,-3.5123239,-0.7367533352549499,-0.7367533352549499
67,2014,2,TEN,DAL,10,26,-6.946951,-1.4572088067113371,-1.4572088067113371
68,2014,2,WAS,JAX,41,10,-1.305337,-0.27381056410591587,-0.27381056410591587
70,2014,3,ARI,SF,23,14,7.0629215,1.4815350519833588,1.4815350519833588
72,2014,3,ATL,TB,56,14,3.189592,0.6690563316505367,0.6690563316505367
74,2014,3,BAL,CLE,23,21,9.738225,2.0427130163630793,2.0427130163630793
75,2014,3,BUF,LAC,10,22,4.7598763,0.9984428655415267,0.9984428655415267
77,2014,3,CAR,PIT,19,37,-7.5028763,-1.573821007234076,-1.573821007234076
79,2014,3,CHI,NYJ,27,19,3.983391,0.8355654798449967,0.8355654798449967
80,2014,3,CIN,TEN,33,7,15.52159,3.255845282651716,3.255845282651716
83,2014,3,CLE,BAL,21,23,-9.738225,-2.0427130163630793,-2.0427130163630793
84,2014,3,DAL,LA,34,31,1.2219642,0.2563220891763845,0.2563220891763845
85,2014,3,DEN,SEA,20,26,1.2767802,0.26782042246658455,0.26782042246658455
86,2014,3,DET,GB,19,7,-0.4120766,-0.08643815834596573,-0.08643815834596573
87,2014,3,GB,DET,7,19,0.4120766,0.08643815834596573,0.08643815834596573
88,2014,3,HOU,NYG,17,30,-5.3594694,-1.1242149266606207,-1.1242149266606207
90,2014,3,IND,JAX,44,17,2.1836529,0.45804817634106676,0.45804817634106676
92,2014,3,JAX,IND,17,44,-2.1836529,-0.45804817634106676,-0.45804817634106676
94,2014,3,KC,MIA,34,15,1.1390567,0.23893121667096162,0.23893121667096162
95,2014,3,LA,DAL,31,34,-1.2219642,-0.2563220891763845,-0.2563220891763845
96,2014,3,LAC,BUF,22,10,-4.7598763,-0.9984428655415267,-0.9984428655415267
97,2014,3,LV,NE,9,16,-0.58783865,-0.12330641999710425,-0.12330641999710425
98,2014,3,MIA,KC,15,34,-1.1390567,-0.23893121667096162,-0.23893121667096162
99,2014,3,MIN,NO,9,20,2.8132436,0.5901126047015887,0.5901126047015887
101,2014,3,NE,LV,16,9,0.58783865,0.12330641999710425,0.12330641999710425
102,2014,3,NO,MIN,20,9,-2.8132436,-0.5901126047015887,-0.5901126047015887
103,2014,3,NYG,HOU,30,17,5.3594694,1.1242149266606207,1.1242149266606207
104,2014,3,NYJ,CHI,19,27,-3.983391,-0.8355654798449967,-0.8355654798449967
105,2014,3,PHI,WAS,37,34,11.343342,2.379406139461555,2.379406139461555
106,2014,3,PIT,CAR,37,19,7.5028763,1.573821007234076,1.573821007234076
107,2014,3,SEA,DEN,26,20,-1.2767802,-0.26782042246658455,-0.26782042246658455
109,2014,3,SF,ARI,14,23,-7.0629215,-1.4815350519833588,-1.4815350519833588
110,2014,3,TB,ATL,14,56,-3.189592,-0.6690563316505367,-0.6690563316505367
112,2014,3,TEN,CIN,7,33,-15.52159,-3.255845282651716,-3.255845282651716
113,2014,3,WAS,PHI,34,37,-11.343342,-2.379406139461555,-2.379406139461555
114,2014,4,ATL,MIN,28,41,-1.6932745,-0.3551852479713382,-0.3551852479713382
115,2014,4,BAL,CAR,38,10,-0.8214723,-0.17231396479252806,-0.17231396479252806
116,2014,4,BUF,HOU,17,23,-5.7451296,-1.2051119187134012,-1.2051119187134012
117,2014,4,CAR,BAL,10,38,0.8214723,0.17231396479252806,0.17231396479252806
119,2014,4,CHI,GB,17,38,-0.92979354,-0.1950356832675673,-0.1950356832675673
121,2014,4,DAL,NO,38,17,4.235814,0.8885143229585434,0.8885143229585434
122,2014,4,DET,NYJ,24,17,-2.2518978,-0.47236338732976313,-0.47236338732976313
123,2014,4,GB,CHI,38,17,0.92979354,0.1950356832675673,0.1950356832675673
124,2014,4,HOU,BUF,23,17,5.7451296,1.2051119187134012,1.2051119187134012
125,2014,4,IND,TEN,41,17,4.0932875,0.8586176285684801,0.8586176285684801
126,2014,4,JAX,LAC,14,33,1.4688361,0.30810652047718984,0.30810652047718984
127,2014,4,KC,NE,41,14,2.3976681,0.5029405088492547,0.5029405088492547
128,2014,4,LAC,JAX,33,14,-1.4688361,-0.30810652047718984,-0.30810652047718984
129,2014,4,LV,MIA,14,38,6.814187,1.4293599173188218,1.4293599173188218
131,2014,4,MIA,LV,38,14,-6.814187,-1.4293599173188218,-1.4293599173188218
132,2014,4,MIN,ATL,41,28,1.6932745,0.3551852479713382,0.3551852479713382
133,2014,4,NE,KC,14,41,-2.3976681,-0.5029405088492547,-0.5029405088492547
135,2014,4,NO,DAL,17,38,-4.235814,-0.8885143229585434,-0.8885143229585434
136,2014,4,NYG,WAS,45,14,-2.9912922,-0.6274604984671592,-0.6274604984671592
137,2014,4,NYJ,DET,17,24,2.2518978,0.47236338732976313,0.47236338732976313
138,2014,4,PHI,SF,21,26,6.756163,1.4171886663915272,1.4171886663915272
139,2014,4,PIT,TB,24,27,-6.770949,-1.4202902125829475,-1.4202902125829475
141,2014,4,SF,PHI,26,21,-6.756163,-1.4171886663915272,-1.4171886663915272
142,2014,4,TB,PIT,27,24,6.770949,1.4202902125829475,1.4202902125829475
144,2014,4,TEN,IND,17,41,-4.0932875,-0.8586176285684801,-0.8586176285684801
146,2014,4,WAS,NYG,14,45,2.9912922,0.6274604984671592,0.6274604984671592
147,2014,5,ARI,DEN,20,41,-2.4135585,-0.5062737165863131,-0.5062737165863131
149,2014,5,ATL,NYG,20,30,0.62517047,0.13113723050297402,0.13113723050297402
150,2014,5,BAL,IND,13,20,1.0795674,0.22645260096385603,0.22645260096385603
151,2014,5,BUF,DET,17,14,5.412361,1.1353095932735064,1.1353095932735064
152,2014,5,CAR,CHI,31,24,8.225614,1.7254241697412387,1.7254241697412387
153,2014,5,CHI,CAR,24,31,-8.225614,-1.7254241697412387,-1.7254241697412387
154,2014,5,CIN,NE,17,43,-10.203595,-2.1403301238364523,-2.1403301238364523
156,2014,5,CLE,TEN,29,28,1.9235896,0.4034966859012447,0.4034966859012447
157,2014,5,DAL,HOU,20,17,-5.1965113,-1.090032451723782,-1.090032451723782
158,2014,5,DEN,ARI,41,20,2.4135585,0.5062737165863131,0.5062737165863131
159,2014,5,DET,BUF,14,17,-5.412361,-1.1353095932735064,-1.1353095932735064
160,2014,5,GB,MIN,42,10,2.017332,0.42316031255447106,0.42316031255447106
162,2014,5,HOU,DAL,17,20,5.1965113,1.090032451723782,1.090032451723782
163,2014,5,IND,BAL,20,13,-1.0795674,-0.22645260096385603,-0.22645260096385603
164,2014,5,JAX,PIT,9,17,2.1020226,0.44092521231634746,0.44092521231634746
165,2014,5,KC,SF,17,22,-7.2872157,-1.528583531745815,-1.528583531745815
166,2014,5,LA,PHI,28,34,-6.8865194,-1.4445325319364528,-1.4445325319364528
167,2014,5,LAC,NYJ,31,0,-4.9479933,-1.0379027306092545,-1.0379027306092545
168,2014,5,MIN,GB,10,42,-2.017332,-0.42316031255447106,-0.42316031255447106
169,2014,5,NE,CIN,43,17,10.203595,2.1403301238364523,2.1403301238364523
170,2014,5,NO,TB,37,31,1.7790331,0.3731741739291051,0.3731741739291051
171,2014,5,NYG,ATL,30,20,-0.62517047,-0.13113723050297402,-0.13113723050297402
172,2014,5,NYJ,LAC,0,31,4.9479933,1.0379027306092545,1.0379027306092545
174,2014,5,PHI,LA,34,28,6.8865194,1.4445325319364528,1.4445325319364528
175,2014,5,PIT,JAX,17,9,-2.1020226,-0.44092521231634746,-0.44092521231634746
176,2014,5,SEA,WAS,27,17,6.9638095,1.4607450853849513,1.4607450853849513
177,2014,5,SF,KC,22,17,7.2872157,1.528583531745815,1.528583531745815
179,2014,5,TB,NO,31,37,-1.7790331,-0.3731741739291051,-0.3731741739291051
180,2014,5,TEN,CLE,28,29,-1.9235896,-0.4034966859012447,-0.4034966859012447
182,2014,5,WAS,SEA,17,27,-6.9638095,-1.4607450853849513,-1.4607450853849513
183,2014,6,ARI,WAS,30,20,-0.4204299,-0.08819036623185722,-0.08819036623185722
184,2014,6,ATL,CHI,13,27,8.597277,1.803385076148777,1.803385076148777
185,2014,6,BAL,TB,48,17,8.244953,1.7294807639381737,1.7294807639381737
186,2014,6,BUF,NE,22,37,1.0470748,0.21963687664495,0.21963687664495
187,2014,6,CAR,CIN,37,37,-6.4028306,-1.343072829821433,-1.343072829821433
188,2014,6,CHI,ATL,27,13,-8.597277,-1.803385076148777,-1.803385076148777
189,2014,6,CIN,CAR,37,37,6.4028306,1.343072829821433,1.343072829821433
190,2014,6,CLE,PIT,31,10,5.2553034,1.1023648211164916,1.1023648211164916
191,2014,6,DAL,SEA,30,23,-12.318828,-2.584026380776575,-2.584026380776575
192,2014,6,DEN,NYJ,31,17,-0.8892956,-0.18654073997206003,-0.18654073997206003
193,2014,6,DET,MIN,17,3,-7.2940655,-1.5300203619299073,-1.5300203619299073
194,2014,6,GB,MIA,27,24,-3.2381647,-0.679245055625378,-0.679245055625378
195,2014,6,HOU,IND,28,33,-6.444079,-1.351725191374401,-1.351725191374401
196,2014,6,IND,HOU,33,28,6.444079,1.351725191374401,1.351725191374401
197,2014,6,JAX,TEN,14,16,-2.4807072,-0.5203589860806881,-0.5203589860806881
198,2014,6,LA,SF,17,31,-4.3625903,-0.9151072182938175,-0.9151072182938175
199,2014,6,LAC,LV,31,28,0.70261806,0.1473828194248721,0.1473828194248721
201,2014,6,LV,LAC,28,31,-0.70261806,-0.1473828194248721,-0.1473828194248721
202,2014,6,MIA,GB,24,27,3.2381647,0.679245055625378,0.679245055625378
203,2014,6,MIN,DET,3,17,7.2940655,1.5300203619299073,1.5300203619299073
204,2014,6,NE,BUF,37,22,-1.0470748,-0.21963687664495,-0.21963687664495
205,2014,6,NYG,PHI,0,27,-3.7369103,-0.7838631075777422,-0.7838631075777422
207,2014,6,NYJ,DEN,17,31,0.8892956,0.18654073997206003,0.18654073997206003
208,2014,6,PHI,NYG,27,0,3.7369103,0.7838631075777422,0.7838631075777422
209,2014,6,PIT,CLE,10,31,-5.2553034,-1.1023648211164916,-1.1023648211164916
210,2014,6,SEA,DAL,23,30,12.318828,2.584026380776575,2.584026380776575
211,2014,6,SF,LA,31,17,4.3625903,0.9151072182938175,0.9151072182938175
212,2014,6,TB,BAL,17,48,-8.244953,-1.7294807639381737,-1.7294807639381737
213,2014,6,TEN,JAX,16,14,2.4807072,0.5203589860806881,0.5203589860806881
214,2014,6,WAS,ARI,20,30,0.4204299,0.08819036623185722,0.08819036623185722
215,2014,7,ARI,LV,24,13,0.5549673,0.11641124818597579,0.11641124818597579
216,2014,7,ATL,BAL,7,29,-1.9960462,-0.4186953530034542,-0.4186953530034542
217,2014,7,BAL,ATL,29,7,1.9960462,0.4186953530034542,0.4186953530034542
218,2014,7,BUF,MIN,17,16,-3.9736948,-0.833531582091632,-0.833531582091632
219,2014,7,CAR,GB,17,38,2.0865984,0.43768979578951767,0.43768979578951767
221,2014,7,CHI,MIA,14,27,9.449959,1.9822456611340802,1.9822456611340802
222,2014,7,CIN,IND,0,27,1.717746,0.3603184474589172,0.3603184474589172
223,2014,7,CLE,JAX,6,24,-4.3021464,-0.9024283634419581,-0.9024283634419581
224,2014,7,DAL,NYG,31,21,-0.7141738,-0.14980677866916017,-0.14980677866916017
225,2014,7,DEN,SF,42,17,-0.69183093,-0.14512008562480064,-0.14512008562480064
227,2014,7,DET,NO,24,23,-3.657645,-0.7672362315242598,-0.7672362315242598
228,2014,7,GB,CAR,38,17,-2.0865984,-0.43768979578951767,-0.43768979578951767
230,2014,7,HOU,PIT,23,30,-2.1174858,-0.4441688095750496,-0.4441688095750496
231,2014,7,IND,CIN,27,0,-1.717746,-0.3603184474589172,-0.3603184474589172
232,2014,7,JAX,CLE,24,6,4.3021464,0.9024283634419581,0.9024283634419581
