,season,week,team,opponent,qb
0,2014,1,ARI,LAC,C. Palmer
1,2014,1,ATL,NO,M. Ryan
2,2014,1,BAL,CIN,J. Flacco
3,2014,1,BUF,CHI,E. Manuel
4,2014,1,CAR,TB,D. Anderson
5,2014,1,CHI,BUF,J. Cutler
6,2014,1,CIN,BAL,A. Dalton
7,2014,1,CLE,PIT,B. Hoyer
8,2014,1,DAL,SF,T. Romo
9,2014,1,DEN,IND,P. Manning
10,2014,1,DET,NYG,M. Stafford
11,2014,1,GB,SEA,A. Rodgers
12,2014,1,HOU,WAS,R. Fitzpatrick
13,2014,1,IND,DEN,A. Luck
14,2014,1,JAX,PHI,C. Henne
15,2014,1,KC,TEN,A. Smith
16,2014,1,LA,MIN,A. Davis
18,2014,1,LAC,ARI,P. Rivers
19,2014,1,LV,NYJ,D. Carr
20,2014,1,MIA,NE,R. Tannehill
21,2014,1,MIN,LA,M. Cassel
22,2014,1,NE,MIA,T. Brady
23,2014,1,NO,ATL,D. Brees
24,2014,1,NYG,DET,E. Manning
25,2014,1,NYJ,LV,G. Smith
27,2014,1,PHI,JAX,N. Foles
28,2014,1,PIT,CLE,B. Roethlisberger
30,2014,1,SEA,GB,R. Wilson
31,2014,1,SF,DAL,C. Kaepernick
32,2014,1,TB,CAR,J. McCown
33,2014,1,TEN,KC,J. Locker
34,2014,1,WAS,HOU,R. Griffin
35,2014,2,ARI,NYG,D. Stanton
36,2014,2,ATL,CIN,M. Ryan
37,2014,2,BAL,PIT,J. Flacco
38,2014,2,BUF,MIA,E. Manuel
39,2014,2,CAR,DET,C. Newton
40,2014,2,CHI,SF,J. Cutler
41,2014,2,CIN,ATL,A. Dalton
43,2014,2,CLE,NO,B. Hoyer
45,2014,2,DAL,TEN,T. Romo
46,2014,2,DEN,KC,P. Manning
47,2014,2,DET,CAR,M. Stafford
48,2014,2,GB,NYJ,A. Rodgers
49,2014,2,HOU,LV,R. Fitzpatrick
50,2014,2,IND,PHI,A. Luck
51,2014,2,JAX,WAS,C. Henne
52,2014,2,KC,DEN,A. Smith
53,2014,2,LA,TB,A. Davis
54,2014,2,LAC,SEA,P. Rivers
55,2014,2,LV,HOU,D. Carr
56,2014,2,MIA,BUF,R. Tannehill
57,2014,2,MIN,NE,M. Cassel
58,2014,2,NE,MIN,T. Brady
59,2014,2,NO,CLE,D. Brees
60,2014,2,NYG,ARI,E. Manning
61,2014,2,NYJ,GB,G. Smith
62,2014,2,PHI,IND,N. Foles
63,2014,2,PIT,BAL,B. Roethlisberger
64,2014,2,SEA,LAC,R. Wilson
65,2014,2,SF,CHI,C. Kaepernick
66,2014,2,TB,LA,J. McCown
67,2014,2,TEN,DAL,J. Locker
68,2014,2,WAS,JAX,K. Cousins
70,2014,3,ARI,SF,D. Stanton
72,2014,3,ATL,TB,M. Ryan
74,2014,3,BAL,CLE,J. Flacco
75,2014,3,BUF,LAC,E. Manuel
77,2014,3,CAR,PIT,C. Newton
79,2014,3,CHI,NYJ,J. Cutler
80,2014,3,CIN,TEN,A. Dalton
83,2014,3,CLE,BAL,B. Hoyer
84,2014,3,DAL,LA,T. Romo
85,2014,3,DEN,SEA,P. Manning
86,2014,3,DET,GB,M. Stafford
87,2014,3,GB,DET,A. Rodgers
88,2014,3,HOU,NYG,R. Fitzpatrick
90,2014,3,IND,JAX,A. Luck
92,2014,3,JAX,IND,B. Bortles
94,2014,3,KC,MIA,A. Smith
95,2014,3,LA,DAL,A. Davis
96,2014,3,LAC,BUF,P. Rivers
97,2014,3,LV,NE,D. Carr
98,2014,3,MIA,KC,R. Tannehill
100,2014,3,MIN,NO,T. Bridgewater
101,2014,3,NE,LV,T. Brady
102,2014,3,NO,MIN,D. Brees
103,2014,3,NYG,HOU,E. Manning
104,2014,3,NYJ,CHI,G. Smith
105,2014,3,PHI,WAS,N. Foles
106,2014,3,PIT,CAR,B. Roethlisberger
108,2014,3,SEA,DEN,R. Wilson
109,2014,3,SF,ARI,C. Kaepernick
111,2014,3,TB,ATL,M. Glennon
112,2014,3,TEN,CIN,J. Locker
113,2014,3,WAS,PHI,K. Cousins
114,2014,4,ATL,MIN,M. Ryan
115,2014,4,BAL,CAR,J. Flacco
116,2014,4,BUF,HOU,E. Manuel
117,2014,4,CAR,BAL,C. Newton
120,2014,4,CHI,GB,J. Cutler
121,2014,4,DAL,NO,T. Romo
122,2014,4,DET,NYJ,M. Stafford
123,2014,4,GB,CHI,A. Rodgers
124,2014,4,HOU,BUF,R. Fitzpatrick
125,2014,4,IND,TEN,A. Luck
126,2014,4,JAX,LAC,B. Bortles
127,2014,4,KC,NE,A. Smith
128,2014,4,LAC,JAX,P. Rivers
129,2014,4,LV,MIA,D. Carr
131,2014,4,MIA,LV,R. Tannehill
132,2014,4,MIN,ATL,T. Bridgewater
134,2014,4,NE,KC,T. Brady
135,2014,4,NO,DAL,D. Brees
136,2014,4,NYG,WAS,E. Manning
137,2014,4,NYJ,DET,G. Smith
138,2014,4,PHI,SF,N. Foles
140,2014,4,PIT,TB,B. Roethlisberger
141,2014,4,SF,PHI,C. Kaepernick
143,2014,4,TB,PIT,M. Glennon
144,2014,4,TEN,IND,C. Whitehurst
146,2014,4,WAS,NYG,K. Cousins
147,2014,5,ARI,DEN,D. Stanton
149,2014,5,ATL,NYG,M. Ryan
150,2014,5,BAL,IND,J. Flacco
151,2014,5,BUF,DET,K. Orton
152,2014,5,CAR,CHI,C. Newton
153,2014,5,CHI,CAR,J. Cutler
154,2014,5,CIN,NE,A. Dalton
156,2014,5,CLE,TEN,B. Hoyer
157,2014,5,DAL,HOU,T. Romo
158,2014,5,DEN,ARI,P. Manning
159,2014,5,DET,BUF,M. Stafford
160,2014,5,GB,MIN,A. Rodgers
162,2014,5,HOU,DAL,R. Fitzpatrick
163,2014,5,IND,BAL,A. Luck
164,2014,5,JAX,PIT,B. Bortles
165,2014,5,KC,SF,A. Smith
166,2014,5,LA,PHI,A. Davis
167,2014,5,LAC,NYJ,P. Rivers
168,2014,5,MIN,GB,C. Ponder
169,2014,5,NE,CIN,T. Brady
170,2014,5,NO,TB,D. Brees
171,2014,5,NYG,ATL,E. Manning
173,2014,5,NYJ,LAC,M. Vick
174,2014,5,PHI,LA,N. Foles
175,2014,5,PIT,JAX,B. Roethlisberger
176,2014,5,SEA,WAS,R. Wilson
178,2014,5,SF,KC,C. Kaepernick
179,2014,5,TB,NO,M. Glennon
180,2014,5,TEN,CLE,C. Whitehurst
182,2014,5,WAS,SEA,K. Cousins
183,2014,6,ARI,WAS,C. Palmer
184,2014,6,ATL,CHI,M. Ryan
185,2014,6,BAL,TB,J. Flacco
186,2014,6,BUF,NE,K. Orton
187,2014,6,CAR,CIN,C. Newton
188,2014,6,CHI,ATL,J. Cutler
189,2014,6,CIN,CAR,A. Dalton
190,2014,6,CLE,PIT,B. Hoyer
191,2014,6,DAL,SEA,T. Romo
192,2014,6,DEN,NYJ,P. Manning
193,2014,6,DET,MIN,M. Stafford
194,2014,6,GB,MIA,A. Rodgers
195,2014,6,HOU,IND,R. Fitzpatrick
196,2014,6,IND,HOU,A. Luck
197,2014,6,JAX,TEN,B. Bortles
198,2014,6,LA,SF,A. Davis
200,2014,6,LAC,LV,P. Rivers
201,2014,6,LV,LAC,D. Carr
202,2014,6,MIA,GB,R. Tannehill
203,2014,6,MIN,DET,T. Bridgewater
204,2014,6,NE,BUF,T. Brady
205,2014,6,NYG,PHI,E. Manning
207,2014,6,NYJ,DEN,G. Smith
208,2014,6,PHI,NYG,N. Foles
209,2014,6,PIT,CLE,B. Roethlisberger
210,2014,6,SEA,DAL,R. Wilson
211,2014,6,SF,LA,C. Kaepernick
212,2014,6,TB,BAL,M. Glennon
213,2014,6,TEN,JAX,C. Whitehurst
214,2014,6,WAS,ARI,K. Cousins
215,2014,7,ARI,LV,C. Palmer
216,2014,7,ATL,BAL,M. Ryan
217,2014,7,BAL,ATL,J. Flacco
218,2014,7,BUF,MIN,K. Orton
219,2014,7,CAR,GB,C. Newton
221,2014,7,CHI,MIA,J. Cutler
222,2014,7,CIN,IND,A. Dalton
223,2014,7,CLE,JAX,B. Hoyer
224,2014,7,DAL,NYG,T. Romo
226,2014,7,DEN,SF,P. Manning
227,2014,7,DET,NO,M. Stafford
228,2014,7,GB,CAR,A. Rodgers
230,2014,7,HOU,PIT,R. Fitzpatrick
231,2014,7,IND,CIN,A. Luck
232,2014,7,JAX,CLE,B. Bortles
233,2014,7,KC,LAC,A. Smith
234,2014,7,LA,SEA,A. Davis
236,2014,7,LAC,KC,P. Rivers
237,2014,7,LV,ARI,D. Carr
238,2014,7,MIA,CHI,R. Tannehill
239,2014,7,MIN,BUF,T. Bridgewater
240,2014,7,NE,NYJ,T. Brady
241,2014,7,NO,DET,D. Brees
242,2014,7,NYG,DAL,E. Manning
243,2014,7,NYJ,NE,G. Smith
245,2014,7,PIT,HOU,B. Roethlisberger
246,2014,7,SEA,LA,R. Wilson
248,2014,7,SF,DEN,C. Kaepernick
249,2014,7,TEN,WAS,C. Whitehurst
