,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_allowed_standardized,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rush_def_value
0,2014,1,ARI,LAC,18,17,24,52.0,-8.805075,1.0,-1.4683940168446548,-0.366878125,-1.4518571607334325,1.4683940168446548
1,2014,1,ATL,NO,37,34,28,139.0,4.2642536,3.0,1.0051621927563408,0.15229477142857142,0.9811266630579402,-1.0051621927563408
2,2014,1,BAL,CIN,16,23,24,81.0,-4.8885007,0.0,-0.7271266589997634,-0.20368752916666666,-0.687102138680772,0.7271266589997634
3,2014,1,BUF,CHI,23,20,18,86.0,-0.055888057,0.0,0.18751397615030302,-0.0031048920555555555,0.252882045358562,-0.18751397615030302
4,2014,1,CAR,TB,20,14,17,102.0,1.0254098,0.0,0.39216496553705693,0.06031822352941177,0.5500998225849313,-0.39216496553705693
5,2014,1,CHI,BUF,20,23,31,197.0,4.3151383,1.0,1.014792845524432,0.13919800967741935,0.9197517151286495,-1.014792845524432
6,2014,1,CIN,BAL,23,16,21,94.0,-0.093162715,1.0,0.18045921728865397,-0.004436319761904762,0.24664261704021387,-0.18045921728865397
7,2014,1,CLE,PIT,27,30,29,127.0,-2.260673,2.0,-0.2297729139040512,-0.07795424137931035,-0.09788213624401075,0.2297729139040512
8,2014,1,DAL,SF,17,28,28,129.0,-3.486463,1.0,-0.4617710952158902,-0.12451653571428571,-0.31608557038879315,0.4617710952158902
9,2014,1,DEN,IND,31,24,14,54.0,-2.788993,1.0,-0.32976498363106055,-0.19921378571428572,-0.6661369736532619,0.32976498363106055
10,2014,1,DET,NYG,35,14,22,53.0,-6.9817786,1.0,-1.1233092561658897,-0.3173535727272727,-1.2197717891954882,1.1233092561658897
11,2014,1,GB,SEA,16,36,34,210.0,7.455015,2.0,1.609059142315415,0.21926514705882355,1.29496785488921,-1.609059142315415
12,2014,1,HOU,WAS,17,6,23,131.0,-3.2888756,1.0,-0.4243748711888262,-0.14299459130434783,-0.4026787085418055,0.4243748711888262
13,2014,1,IND,DEN,24,31,28,105.0,0.66783774,1.0,0.3244893705265512,0.023851347857142855,0.37920623544820736,-0.3244893705265512
14,2014,1,JAX,PHI,17,34,32,145.0,-0.79308265,1.0,0.047989420680833186,-0.0247838328125,0.1512886984380839,-0.047989420680833186
15,2014,1,KC,TEN,10,26,36,165.0,-3.090178,0.0,-0.3867685260309873,-0.08583827777777778,-0.1348288512123887,0.3867685260309873
16,2014,1,LA,MIN,6,34,29,188.0,-1.8988178,1.0,-0.1612866737664813,-0.06547647586206896,-0.03940797114535788,0.1612866737664813
18,2014,1,LAC,ARI,17,18,26,110.0,-7.6973166,0.0,-1.2587349935756504,-0.29605063846153845,-1.11994050981946,1.2587349935756504
19,2014,1,LV,NYJ,14,19,32,214.0,1.6356307,1.0,0.5076579447573749,0.051113459375,0.5069638221435453,-0.5076579447573749
20,2014,1,MIA,NE,33,20,20,89.0,3.5053282,1.0,0.8615247731727579,0.17526641,1.088777939607114,-0.8615247731727579
21,2014,1,MIN,LA,34,6,21,73.0,-1.5054839,0.0,-0.08684264220455566,-0.07168970952380953,-0.06852485512840033,0.08684264220455566
22,2014,1,NE,MIA,20,33,36,193.0,3.308691,1.0,0.8243083880021721,0.09190808333333333,0.6981384016931391,-0.8243083880021721
23,2014,1,NO,ATL,34,37,25,123.0,2.5593936,1.0,0.6824932042743804,0.10237574399999999,0.7471926748459385,-0.6824932042743804
24,2014,1,NYG,DET,14,35,27,79.0,-3.1919725,2.0,-0.40603458209895,-0.1182212037037037,-0.2865839514627957,0.40603458209895
25,2014,1,NYJ,LV,19,14,14,26.0,-5.539876,0.0,-0.850408693403253,-0.39570542857142854,-1.5869496583489324,0.850408693403253
27,2014,1,PHI,JAX,34,17,24,64.0,-6.572697,0.0,-1.0458847485355962,-0.273862375,-1.0159603397233283,1.0458847485355962
28,2014,1,PIT,CLE,30,27,31,191.0,7.3180656,2.0,1.5831395217182918,0.2360666322580645,1.3737041332785953,-1.5831395217182918
30,2014,1,SEA,GB,36,16,21,80.0,0.38006762,1.0,0.270024784850465,0.018098458095238096,0.35224664678891193,-0.270024784850465
